"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"323","deltamethrin","52918-63-5",0,NA,1,1,1,505.2,2.12e-06,0.000121,NA,"426 (3)",NA,426,NA,"357 to 491","C","6.20 (1)","5.95 (4)",6.2,5.95,6.2,"5.32 to 6.18",6.2,"EXP","0"
"324","Azobenzene","103-33-3",0,1,1,1,NA,182.22,5.71e-08,3.67e-06,"293 (4)","292 (3)",293,292,"293","285 to 296","C","3.82 (1)","3.60 (4)",3.82,3.6,3.82,"2.85 to 4.16",3.82,"EXP","0"
"325","Tris(2-chloroethyl) phosphate","115-96-8",0,1,1,1,NA,285.49,6.96e-06,0.000436,"330 (1)","334 (3)",330,334,"330","322 to 352","C","1.44 (1)","1.64 (4)",1.44,1.64,1.44,"1.55 to 1.79",1.44,"EXP","0"
"326","Acrylamide","79-06-1",0,1,1,1,1,71.08,2.62e-08,4.14e-06,"170 (4)","200 (3)",125,200,"125 to 300","196 to 202","C","-0.670 (1)","-0.708 (4)",-0.67,-0.708,-0.67,"-0.810 to -0.624",-0.67,"EXP","0"
"327","2-Methyoxyethanol","109-86-4",0,1,1,1,NA,76.09,9.73e-07,7.66e-05,"124 (4)","120 (3)",124,120,"124 to 125","115 to 123","C","-0.770 (1)","-0.747 (4)",-0.77,-0.747,-0.77,"-0.910 to -0.592",-0.77,"EXP","0"
"328","Captan","133-06-2",0,1,1,1,NA,300.59,1.09e-07,7.83e-06,NA,"345 (3)",NA,345,NA,"298 to 438","C","2.80 (1)","2.67 (4)",2.8,2.67,2.8,"2.35 to 2.85",2.8,"EXP","0"
"329","Benzoic acid","65-85-0",0,1,1,1,NA,122.12,5.53e-05,0.00387,"249 (6)","251 (3)",249,251,"249","248 to 256","C","1.87 (2)","1.81 (4)",1.87,1.81,1.87,"1.54 to 1.96",1.87,"EXP","0"
"330","Adipic acid","124-04-9",0,1,1,1,NA,146.14,0.000117,0.0113,"271 (4)","322 (4)",205,322,"205 to 337","310 to 336","C","0.08 (1)","1.22e-01 (4)",0.08,0.122,0.08,"3.38e-02 to 0.23",0.08,"EXP","0"
"331","Bis(tributyltin)oxide","56-35-9",0,NA,1,1,NA,596.1,5.74e-08,4.51e-06,NA,"417 (1)",NA,417,NA,NA,"C",NA,"4.25 (2)",NA,4.25,NA,"4.05 to 4.44",4.05,"EST","0"
"332","Hexachlorophene","70-30-4",0,NA,1,1,NA,406.9,1.85e-08,2.53e-06,"479 (1)","446 (3)",479,446,"479","416 to 464","C","7.54 (1)","6.43 (4)",7.54,6.43,7.54,"5.15 to 7.28",7.54,"EXP","0"
"333","17beta-Estradiol","50-28-2",0,1,1,1,NA,272.38,3.2e-08,2.23e-06,NA,"368 (3)",NA,368,NA,"336 to 395","C","4.01 (1)","3.34 (4)",4.01,3.34,4.01,"2.79 to 3.94",4.01,"EXP","0"
"334","Isophorone","78-59-1",0,1,1,1,NA,138.21,4.59e-05,0.00286,"176 (6)","208 (3)",214,208,"99.0 to 215","201 to 216","C","1.70 (1)","2.30 (4)",1.7,2.3,1.7,"1.96 to 2.62",1.7,"EXP","0"
"335","Propargite","2312-35-8",0,1,1,1,NA,350.47,1.39e-07,7.03e-06,NA,"379 (3)",NA,379,NA,"323 to 442","C","5.00 (1)","4.67 (4)",5,4.67,5,"4.05 to 5.57",5,"EXP","0"
"336","Ethylene thiourea","96-45-7",0,1,1,1,1,102.16,8.65e-09,8.25e-07,"309 (2)","315 (3)",271,315,"230 to 313","264 to 346","C","-0.660 (1)","-0.571 (4)",-0.66,-0.571,-0.66,"-0.689 to -0.489",-0.66,"EXP","0"
"337","Chlorothalonil","1897-45-6",0,1,1,1,NA,265.91,2.18e-07,2.82e-05,"350 (1)","340 (4)",350,340,"350","318 to 355","C","3.05 (1)","3.44 (4)",3.05,3.44,3.05,"2.89 to 4.00",3.05,"EXP","0"
"338","Ammonium perchlorate","7790-98-9",0,NA,1,1,NA,117.49,6.55e-08,5.44e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"339","HYDRAZINE","302-01-2",0,NA,NA,1,NA,32.05,1.01e-06,5.35e-05,"113 (1)","499 (1)",113,499,"113",NA,"C",NA,"-1.47 (1)",NA,-1.47,NA,NA,NA,NA,"0"
"340","RDX (Cyclonite)","121-82-4",0,NA,NA,1,NA,222.12,6.72e-08,6.75e-06,NA,"293 (3)",NA,293,NA,"256 to 353","C","0.87 (1)","4.52e-01 (3)",0.87,0.452,0.87,"-0.0588 to 7.35e-01",0.87,"EXP","0"
"341","NITRATE","14797-55-8",0,NA,NA,1,1,62.004,6.58e-09,7.61e-07,NA,"493 (1)",NA,493,NA,NA,"C",NA,"0.21 (1)",NA,0.21,NA,NA,NA,NA,"0"
"342","FORMALDEHYDE","50-00-0",0,NA,NA,1,NA,30.03,1.32e-06,0.000155,"-20.1 (2)","-11.5 (3)",-21.1,-11.5,"-21.1","-24.0 to 9.50","C","0.35 (1)","5.56e-02 (3)",0.35,0.0556,0.35,"-0.421 to 0.35",0.35,"EXP","0"
"343","ARSINE","7784-42-1",0,NA,NA,1,1,77.9457,1.46e-08,1.44e-06,"-62.8 (1)",NA,NA,NA,NA,NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,"0"
"344","AROCLOR 1260","11096-82-5",0,NA,1,1,NA,360.8816,2.83e-06,0.000226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,"EXP","0"
"345","ENDOSULFAN, ALPHA","959-98-8",0,NA,1,1,NA,406.93,1.39e-07,7.56e-06,NA,"366 (3)",NA,366,NA,"332 to 401","C",NA,"3.65 (3)",NA,3.65,NA,"3.50 to 3.88",3.83,"EXP","0"
"346","ENDOSULFAN SULFATE","1031-07-8",0,NA,1,1,NA,422.92,1.34e-07,6.43e-06,NA,"383 (3)",NA,383,NA,"337 to 409","C","3.66 (1)","3.69 (4)",3.66,3.69,3.66,"3.55 to 3.97",3.66,"EXP","0"
"347","DDD, O,P'-","53-19-0",0,NA,1,1,NA,320.04,9.91e-08,6.41e-06,NA,"342 (3)",NA,342,NA,"317 to 367","C",NA,"5.76 (4)",NA,5.76,NA,"5.19 to 6.04",5.87,"EST","0"
"348","ARSENIC TRIOXIDE","1327-53-3",0,NA,1,1,NA,197.84,8.97e-08,9.73e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"349","STROBANE","8001-50-1",0,NA,1,1,NA,377.3521,1.35e-07,6.53e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"350","CARBOPHENOTHION","786-19-6",0,NA,1,1,NA,342.87,1.17e-07,5.09e-06,NA,"368 (3)",NA,368,NA,"318 to 401","C","5.33 (1)","5.05 (4)",5.33,5.05,5.33,"4.56 to 5.31",5.33,"EXP","0"
"351","4-NITROPHENOL","100-02-7",0,1,1,1,1,139.11,1.21e-07,9.47e-06,"279 (4)","269 (3)",279,269,"279","261 to 282","C","1.91 (2)","1.71 (4)",1.91,1.71,1.91,"1.55 to 1.91",1.91,"EXP","0"
"352","2-CHLOROANILINE","95-51-2",0,NA,1,1,NA,127.57,1.05e-07,6.95e-06,"208 (4)","215 (3)",209,215,"207 to 210","205 to 223","C","1.90 (1)","1.85 (4)",1.9,1.85,1.9,"1.68 to 2.11",1.9,"EXP","0"
"353","tetramethrin","7696-12-0",0,1,1,1,NA,331.41,1.66e-08,1.49e-06,NA,"386 (3)",NA,386,NA,"322 to 495","C","4.73 (1)","4.59 (4)",4.73,4.59,4.73,"4.30 to 4.95",4.73,"EXP","0"
"354","ICI 182,780","129453-61-8",0,1,1,1,NA,606.77,4.01e-07,1.88e-05,NA,"456 (3)",NA,456,NA,"327 to 611","C",NA,"7.65 (4)",NA,7.65,NA,"4.41 to 9.91",NA,NA,"0"
"355","norethindrone","68-22-4",0,1,1,1,NA,298.42,2.08e-07,1.5e-05,NA,"362 (3)",NA,362,NA,"317 to 400","C","2.97 (1)","2.93 (4)",2.97,2.93,2.97,"2.89 to 2.99",2.97,"EXP","0"
"356","levonorgestrel","797-63-7",0,1,1,1,NA,312.45,3.55e-08,4.15e-06,NA,"366 (3)",NA,366,NA,"318 to 412","C",NA,"3.26 (4)",NA,3.26,NA,"3.07 to 3.48",NA,NA,"0"
"357","17b-trenbolone","10161-33-8",0,1,1,1,NA,270.37,1.67e-07,1.68e-05,NA,"353 (3)",NA,353,NA,"331 to 392","C",NA,"2.79 (4)",NA,2.79,NA,"2.65 to 3.15",NA,NA,"0"
"358","4-androstenedione","63-05-8",0,1,1,1,NA,290.44,2.2e-07,1.5e-05,NA,"367 (3)",NA,367,NA,"347 to 386","C","2.75 (1)","2.87 (4)",2.75,2.87,2.75,"2.76 to 2.93",2.75,"EXP","0"
"359","cyproterone acetate","427-51-0",0,1,1,1,NA,416.94,3.97e-08,6.13e-06,NA,"408 (3)",NA,408,NA,"353 to 465","C",NA,"3.98 (4)",NA,3.98,NA,"3.41 to 4.28",NA,NA,"0"
"360","nilutamide","63612-50-0",0,1,1,1,NA,317.22,2.26e-07,1.76e-05,NA,"371 (3)",NA,371,NA,"297 to 477","C",NA,"2.27 (4)",NA,2.27,NA,"1.92 to 2.80",NA,NA,"0"
"361","mifepristone","84371-65-3",0,1,1,1,NA,429.59,2.93e-07,3.16e-05,NA,"440 (3)",NA,440,NA,"330 to 538","C",NA,"5.06 (4)",NA,5.06,NA,"4.67 to 5.46",NA,NA,"0"
"362","resveratrol","501-36-0",0,NA,1,1,NA,228.24,1.78e-07,9.77e-06,NA,"372 (3)",NA,372,NA,"341 to 402","C",NA,"2.63 (4)",NA,2.63,NA,"1.88 to 3.08",3.08,"EST","0"
"363","finasteride","98319-26-7",0,NA,1,1,NA,372.54,4.2e-08,4.26e-06,NA,"416 (3)",NA,416,NA,"345 to 550","C","3.03 (1)","2.94 (4)",3.03,2.94,3.03,"2.67 to 3.20",3.03,"EXP","0"
"364","norethynodrel","68-23-5",0,NA,1,1,NA,298.4234,1.78e-07,1.03e-05,NA,"360 (3)",NA,360,NA,"317 to 403","C",NA,"3.32 (4)",NA,3.32,NA,"2.86 to 3.72",3.51,"EST","0"
"365","medroxyprogesterone acetate","71-58-9",0,NA,1,1,NA,386.52,4.86e-08,4.45e-06,NA,"407 (3)",NA,407,NA,"385 to 448","C",NA,"3.77 (4)",NA,3.77,NA,"3.33 to 4.09",NA,NA,"0"
"366","19-nortestosterone","434-22-0",0,NA,1,1,NA,274.4,1.76e-07,1.33e-05,NA,"351 (3)",NA,351,NA,"296 to 385","C","2.62 (1)","2.75 (4)",2.62,2.75,2.62,"2.67 to 2.82",2.62,"EXP","0"
"367","fluoxymestrone","76-43-7",0,NA,1,1,NA,336.4441,2.43e-07,1.66e-05,NA,"388 (3)",NA,388,NA,"361 to 421","C","2.38 (1)","2.56 (4)",2.38,2.56,2.38,"2.37 to 2.92",2.38,"EXP","0"
"368","norethindrone acetate","51-98-9",0,NA,1,1,NA,340.46,3.73e-08,6.49e-06,NA,"377 (3)",NA,377,NA,"352 to 415","C",NA,"3.64 (4)",NA,3.64,NA,"3.36 to 3.99",3.99,"EST","0"
"369","testosterone","58-22-0",0,NA,1,1,NA,288.42,3.14e-08,2.99e-06,"160 (1)","354 (3)",160,354,"160","296 to 390","C","3.32 (1)","3.12 (4)",3.32,3.12,3.32,"2.91 to 3.27",3.32,"EXP","0"
"370","zearalenone","17924-92-4",0,NA,1,1,NA,318.36,2.17e-07,1.01e-05,NA,"412 (3)",NA,412,NA,"325 to 510","C",NA,"3.43 (4)",NA,3.43,NA,"2.34 to 4.07",3.58,"EST","0"
"371","bicalutamide","90357-06-5",0,NA,1,1,NA,430.37,3.27e-07,2.2e-05,NA,"337 (2)",NA,337,NA,"310 to 364","C",NA,"2.54 (2)",NA,2.54,NA,"2.27 to 2.82",NA,NA,"0"
"372","6-Thioguanine (6-TG)","154-42-7",0,1,1,1,NA,167.19,1.28e-07,7.15e-06,NA,"379 (3)",NA,379,NA,"282 to 514","C","-0.0700 (1)","-0.119 (4)",-0.07,-0.119,-0.07,"-0.310 to 8.62e-02",-0.07,"EXP","0"
"373","Pyrimethamine","58-14-0",0,1,1,1,NA,248.71,1.58e-07,1.24e-05,NA,"354 (3)",NA,354,NA,"311 to 423","C","2.69 (1)","2.25 (4)",2.69,2.25,2.69,"1.49 to 2.59",2.69,"EXP","0"
"374","2-Octyl-3-isothiazolone","26530-20-1",0,1,1,1,NA,213.34,8.62e-07,5.58e-05,NA,"308 (3)",NA,308,NA,"268 to 342","C","2.45 (1)","2.82 (4)",2.45,2.82,2.45,"2.50 to 3.45",2.45,"EXP","0"
"375","8-Hydroxyquinoline","148-24-3",0,1,1,1,NA,145.16,1.07e-07,9.09e-06,"269 (5)","278 (3)",267,278,"267 to 276","248 to 296","C","2.02 (1)","1.51 (4)",2.02,1.51,2.02,"1.06 to 1.97",2.02,"EXP","0"
"376","Dazomet","533-74-4",0,1,1,1,NA,162.28,1.49e-07,1.32e-05,NA,"281 (3)",NA,281,NA,"238 to 310","C","0.63 (1)","7.66e-01 (4)",0.63,0.766,0.63,"5.84e-01 to 0.94",1.4,"EXP","0"
"377","Hexamethyl-p-rosaniline chloride","548-62-9",0,1,1,1,NA,407.98,6.27e-08,5.02e-06,NA,"445 (3)",NA,445,NA,"350 to 632","C","0.96 (1)","1.33 (4)",0.96,1.33,0.96,"1.27e-01 to 4.03",0.51,"EXP","0"
"378","Thalidomide","50-35-1",0,1,1,1,NA,258.23,1.53e-07,1.14e-05,NA,"416 (3)",NA,416,NA,"286 to 633","C","0.33 (1)","1.79e-01 (4)",0.33,0.179,0.33,"-0.240 to 0.45",0.33,"EXP","0"
"379","Tetraethylthiuram disulfide","97-77-8",0,1,1,1,NA,296.54,9.21e-08,1.21e-05,"129 (4)","371 (3)",117,371,"117 to 166","342 to 386","C","3.88 (1)","3.16 (4)",3.88,3.16,3.88,"2.09 to 3.67",3.88,"EXP","0"
"380","Saccharin Sodium Salt hydrate","82385-42-0",0,1,1,1,NA,205.17,1.12e-06,0.000116,NA,"284 (2)",NA,284,NA,"272 to 295","C",NA,"5.88e-01 (3)",NA,0.588,NA,"2.60e-01 to 8.89e-01",NA,NA,"0"
"381","Hydroxyurea","127-07-1",0,1,1,1,NA,76.05,5.92e-08,4.05e-06,NA,"236 (3)",NA,236,NA,"228 to 245","C","-1.80 (1)","-1.58 (4)",-1.8,-1.58,-1.8,"-1.75 to -1.36",-1.8,"EXP","0"
"382","Carbamic acid","55406-53-6",0,1,1,1,NA,281.09,2.03e-05,0.00205,NA,"285 (4)",NA,285,NA,"276 to 301","C",NA,"2.50 (4)",NA,2.5,NA,"2.06 to 3.01",NA,NA,"0"
"383","3,3’,5,5’-Tetrabromobisphenol A","79-94-7",0,1,1,1,NA,543.87,3.57e-05,0.00339,NA,"446 (3)",NA,446,NA,"412 to 486","C",NA,"6.01 (4)",NA,6.01,NA,"5.05 to 7.20",7.2,"EST","0"
"384","Acetylsalicylic acid","50-78-2",0,1,1,1,NA,180.16,2.04e-08,1.67e-06,"140 (2)","294 (3)",140,294,"140","276 to 316","C","1.19 (1)","1.21 (4)",1.19,1.21,1.19,"8.68e-01 to 1.44",1.19,"EXP","0"
"385","Triphenyl phosphate","115-86-6",0,1,1,1,NA,326.28,9.84e-05,0.00931,"289 (4)","394 (4)",249,394,"245 to 413","350 to 441","C","4.59 (1)","3.94 (4)",4.59,3.94,4.59,"2.67 to 4.70",4.59,"EXP","0"
"386","5-Fluorouracil","51-21-8",0,1,1,1,NA,130.08,8.09e-08,6.64e-06,NA,"272 (3)",NA,272,NA,"168 to 367","C","-0.890 (1)","-0.634 (4)",-0.89,-0.634,-0.89,"-0.844 to -0.397",-0.89,"EXP","0"
"387","Colchicine","64-86-8",0,1,1,1,NA,399.44,2.3e-06,0.000221,NA,"457 (4)",NA,457,NA,"302 to 562","C","1.30 (1)","1.30 (4)",1.3,1.3,1.3,"9.52e-01 to 1.86",1.3,"EXP","0"
"388","Acetaminophen","103-90-2",0,1,1,1,NA,151.16,1.05e-08,1.3e-06,NA,"323 (3)",NA,323,NA,"298 to 341","C","0.46 (1)","4.13e-01 (4)",0.46,0.413,0.46,"8.03e-02 to 8.75e-01",0.46,"EXP","0"
"389","Sucrose","57-50-1",0,1,1,1,NA,342.3,9.89e-07,8.38e-05,NA,"409 (3)",NA,409,NA,"313 to 592","C","-3.70 (1)","-3.65 (4)",-3.7,-3.65,-3.7,"-4.27 to -3.14",-3.7,"EXP","0"
"390","Propyl gallate","121-79-9",0,1,1,1,NA,212.2,2.56e-07,2.84e-05,NA,"331 (3)",NA,331,NA,"310 to 364","C","1.80 (1)","1.84 (4)",1.8,1.84,1.8,"1.54 to 2.18",1.8,"EXP","0"
"391","Maltol","118-71-8",0,1,1,1,NA,126.11,1.35e-05,0.000813,"170 (2)","255 (3)",170,255,"170","246 to 264","C","0.09 (1)","-0.132 (4)",0.09,-0.132,0.09,"-0.450 to -0.00207",0.09,"EXP","0"
"392","Citric acid","77-92-9",0,1,1,1,NA,192.12,7.11e-05,0.00428,NA,"359 (3)",NA,359,NA,"318 to 407","C","-1.64 (1)","-1.37 (4)",-1.64,-1.37,-1.64,"-1.68 to -0.796",-1.64,"EXP","0"
"393","Methylparaben","99-76-3",0,1,1,1,1,152.15,1.98e-05,0.00109,"278 (3)","267 (3)",280,267,"275 to 280","252 to 284","C","1.96 (1)","1.99 (4)",1.96,1.99,1.96,"1.63 to 2.26",1.96,"EXP","0"
"394","tert-Butylhydro-quinone (TBHQ)","1948-33-0",0,1,1,1,NA,166.22,4.42e-07,5.03e-05,"288 (3)","282 (3)",295,282,"295","277 to 287","C",NA,"2.33 (4)",NA,2.33,NA,"1.89 to 2.94",NA,NA,"0"
"395","Hexylresorcinol","136-77-6",0,1,1,1,NA,194.27,1.31e-07,1.06e-05,"334 (3)","319 (3)",333,319,"333 to 335","301 to 331","C","3.45 (1)","3.68 (4)",3.45,3.68,3.45,"3.37 to 4.04",3.45,"EXP","0"
"396","chlorpromazine Hydrochloride","69-09-0",0,1,1,1,NA,355.33,4.04e-08,4.19e-06,NA,"346 (2)",NA,346,NA,"343 to 349","C",NA,"4.33 (3)",NA,4.33,NA,"3.22 to 5.42",NA,NA,"0"
"397","2-Amino-4-chlorophenol","95-85-2",0,NA,1,1,NA,143.57,1.09e-07,9.84e-06,"276 (1)","270 (3)",276,270,"276","265 to 276","C","1.81 (1)","1.46 (4)",1.81,1.46,1.81,"1.24 to 1.75",1.81,"EXP","0"
"398","p-Quinone","106-51-4",0,NA,1,1,NA,108.09,2.18e-08,2.28e-06,"180 (3)","195 (3)",180,195,"180","178 to 218","C","0.2 (1)","2.47e-01 (4)",0.2,0.247,0.2,"8.40e-02 to 4.90e-01",0.2,"EXP","0"
"399","Triamterene","396-01-0",0,NA,1,1,NA,253.26,2.75e-08,3.8e-06,NA,"383 (3)",NA,383,NA,"317 to 505","C","0.98 (1)","8.57e-01 (4)",0.98,0.857,0.98,"4.48e-01 to 1.17",0.98,"EXP","0"
"400","1-Methyl-Alpha-Ionone","7779-30-8",0,NA,1,1,NA,206.331,3.92e-08,3.53e-06,NA,"273 (3)",NA,273,NA,"268 to 276","C",NA,"4.40 (4)",NA,4.4,NA,"4.06 to 4.78",NA,NA,"0"
"401","Alizarin Yellow R (Mordant Orange 1)","2243-76-7",0,NA,1,1,NA,287.23,1.83e-07,1.7e-05,NA,"378 (3)",NA,378,NA,"322 to 474","C",NA,"3.84 (4)",NA,3.84,NA,"3.06 to 4.76",4.76,"EST","0"
"402","Titanocene dichloride","1271-19-8",0,NA,1,1,NA,248.96,1.81e-07,1.24e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,"EST","0"
"403","Retinal","116-31-4",0,NA,1,1,NA,284.44,2.07e-07,1.25e-05,NA,"347 (3)",NA,347,NA,"321 to 368","C",NA,"6.65 (4)",NA,6.65,NA,"5.30 to 8.78",7.6,"EST","0"
"404","3,4-Dichlorophenyl isocyanate","102-36-3",0,NA,1,1,NA,188.01,1.31e-07,1.36e-05,"119 (3)","235 (3)",119,235,"118 to 120","223 to 244","C",NA,"3.14 (4)",NA,3.14,NA,"2.21 to 3.88",3.88,"EST","0"
"405","verapamil hydrochloride","152-11-4",0,NA,1,1,NA,491.06,5.51e-08,6.03e-06,NA,"375 (2)",NA,375,NA,"344 to 406","C",NA,"3.61 (3)",NA,3.61,NA,"2.45 to 4.41",NA,NA,"0"
"406","Nifedipine","21829-25-4",0,NA,1,1,NA,346.33,3.48e-08,3.7e-06,NA,"372 (3)",NA,372,NA,"305 to 438","C","2.20 (1)","2.83 (4)",2.2,2.83,2.2,"1.97 to 3.68",2.2,"EXP","0"
"407","amitriptyline hydrochloride","549-18-8",0,NA,1,1,NA,313.86,3.97e-08,2.82e-06,"398 (1)","331 (2)",398,331,"398","316 to 346","C",NA,"3.92 (3)",NA,3.92,NA,"3.48 to 4.67",NA,NA,"0"
"408","Tricresyl phosphate","1330-78-5",0,NA,1,1,NA,368.36,1.08e-07,1.08e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,"EXP","0"
"409","tert-Butylphenyl diphenyl phosphate","56803-37-3",0,NA,1,1,NA,383.4016,7.16e-08,6.41e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12,"EXP","0"
"410","Phenol, isopropylated, phosphate (3:1)","68937-41-7",0,NA,1,1,NA,369.3748,1.83e-06,0.00026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"411","Manganese, tricarbonyl","12108-13-3",0,NA,1,1,NA,218.09,6.23e-08,7.13e-06,NA,NA,NA,NA,NA,NA,NA,NA,"2.55 (1)",NA,2.55,NA,NA,3.7,"EXP","0"
"412","Isodecyl diphenyl phosphate","29761-21-5",0,NA,1,1,NA,390.4569,7.11e-07,5.57e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44,"EXP","0"
"413","Dibenz[a,c]anthracene","215-58-7",0,NA,1,1,NA,278.35,1.61e-07,1.44e-05,"524 (1)","477 (3)",524,477,"524","452 to 508","C","6.41 (1)","6.04 (4)",6.41,6.04,6.41,"5.10 to 6.78",6.41,"EXP","0"
"414","Benzo(e)pyrene","192-97-2",0,NA,1,1,NA,252.31,2.74e-08,3.58e-06,NA,"436 (3)",NA,436,NA,"404 to 462","C","6.44 (1)","5.49 (4)",6.44,5.49,6.44,"4.35 to 6.34",6.44,"EXP","0"
"415","Acetic acid, manganese(2+) salt","638-38-0",0,NA,1,1,NA,245.09,5.45e-08,5.62e-06,NA,NA,NA,NA,NA,NA,NA,NA,"2.50e-02 (1)",NA,0.025,NA,NA,-0.58,"EST","0"
"416","3,3'-Iminodipropionitrile","111-94-4",0,NA,1,1,NA,123.16,1e-07,7.16e-06,"205 (2)","278 (3)",205,278,"204 to 206","270 to 289","C","-1.34 (1)","-1.01 (4)",-1.34,-1.01,-1.34,"-1.15 to -0.822",-1.34,"EXP","0"
"417","2- ethylhexyl diphenyl phosphate","1241-94-7",0,NA,1,1,NA,362.4,6.78e-05,0.00436,"375 (1)","390 (3)",375,390,"375","357 to 443","C","5.73 (1)","5.38 (4)",5.73,5.38,5.73,"4.85 to 6.30",5.73,"EXP","0"
"418","Valproic acid sodium salt","1069-66-5",0,NA,1,1,NA,166.19,1.9e-08,1.97e-06,NA,"302 (3)",NA,302,NA,"224 to 455","C",NA,"1.78 (4)",NA,1.78,NA,"-0.850 to 2.74",NA,NA,"0"
"419","Methyl mercuric (II) chloride","115-09-3",0,NA,1,1,NA,251.08,1.09e-08,9.46e-07,NA,"117 (1)",NA,117,NA,NA,"C",NA,"0.39 (1)",NA,0.39,NA,NA,0.41,"EXP","0"
"420","mexiletine hydrochloride","5370-01-4",0,NA,1,1,NA,215.72,NA,NA,NA,"257 (2)",NA,257,NA,"244 to 270","C",NA,"2.31 (3)",NA,2.31,NA,"1.97 to 2.56",NA,NA,"1"
"421","Lignocaine (Lidocaine)","137-58-6",0,NA,1,1,NA,234.34,3.11e-08,3.25e-06,NA,"332 (3)",NA,332,NA,"298 to 387","C","2.44 (1)","2.01 (4)",2.44,2.01,2.44,"1.66 to 2.32",2.44,"EXP","0"
"422","diltiazem","42399-41-7",0,NA,1,1,NA,414.523,3.24e-07,2.22e-05,NA,"411 (3)",NA,411,NA,"301 to 540","C","2.70 (1)","2.52 (4)",2.7,2.52,2.7,"1.86 to 3.38",2.79,"EST","0"
"423","nitrendipine","39562-70-4",0,NA,1,1,NA,360.36,2.23e-07,1.38e-05,NA,"373 (3)",NA,373,NA,"304 to 450","C","2.88 (1)","3.29 (4)",2.88,3.29,2.88,"2.49 to 4.17",2.88,"EXP","0"
"424","loratadine","79794-75-5",0,NA,1,1,NA,382.88,2.59e-07,2.01e-05,"531 (1)","381 (3)",531,381,"531","304 to 476","C","5.20 (1)","4.83 (4)",5.2,4.83,5.2,"4.07 to 5.66",5.2,"EXP","0"
"425","Xylitol","87-99-0",0,NA,1,1,NA,152.15,1.65e-08,1.44e-06,NA,"330 (3)",NA,330,NA,"311 to 345","C",NA,"-2.45 (4)",NA,-2.45,NA,"-2.56 to -2.25",-2.56,"EST","0"
"426","Lisinopril","83915-83-7",0,NA,1,1,NA,441.52,2.75e-07,3.07e-05,NA,"305 (2)",NA,305,NA,"282 to 328","C",NA,"-0.617 (3)",NA,-0.617,NA,"-1.57 to 1.21",-1.01,"EXP","0"
"427","Glucono-δ-lactone","90-80-2",0,NA,1,1,NA,178.14,1.6e-07,1.88e-05,"446 (1)","341 (3)",446,341,"446","310 to 399","C",NA,"-2.35 (4)",NA,-2.35,NA,"-2.63 to -1.98",-1.98,"EST","0"
"428","Atenolol","29122-68-7",0,NA,1,1,NA,266.34,1.88e-07,2.1e-05,NA,"354 (3)",NA,354,NA,"296 to 439","C","0.16 (1)","-0.0454 (4)",0.16,-0.0454,0.16,"-0.356 to 2.87e-01",0.16,"EXP","0"
"429","Aspartame","22839-47-0",0,NA,1,1,NA,294.3,3.36e-08,4.04e-06,NA,"373 (3)",NA,373,NA,"284 to 523","C",NA,"-0.236 (4)",NA,-0.236,NA,"-1.32 to 8.12e-01",0.07,"EST","0"
"430","D-Glucitol","50-70-4",0,NA,1,1,NA,182.17,6.19e-05,0.00401,NA,"353 (3)",NA,353,NA,"314 to 390","C","-2.20 (1)","-2.77 (4)",-2.2,-2.77,-2.2,"-3.01 to -2.36",-2.2,"EXP","0"
"431","Biotin","58-85-5",0,NA,1,1,NA,244.31,2e-07,2.13e-05,NA,"338 (3)",NA,338,NA,"255 to 427","C",NA,"8.60e-01 (4)",NA,0.86,NA,"-0.236 to 1.81",0.39,"EST","0"
"432","Ascorbic acid","50-81-7",0,NA,1,1,NA,176.12,2.05e-05,0.00123,NA,"344 (3)",NA,344,NA,"296 to 423","C","-1.85 (1)","-2.30 (4)",-1.85,-2.3,-1.85,"-3.85 to -1.65",-1.85,"EXP","0"
"433","ranolazine","95635-55-5",0,NA,1,1,NA,500.46,2.92e-07,2.37e-05,NA,"429 (3)",NA,429,NA,"320 to 599","C",NA,"1.26 (4)",NA,1.26,NA,"0.51 to 1.89",NA,NA,"0"
